reference_number,paper_id,authors,PMID,PMCID,DOI,title,journal,publication_year,publication_types
1,pmid-31091374,"André F, Ciruelos E, Rubovszky G, et al.",31091374,,10.1056/NEJMoa1813904,"Alpelisib for PIK3CA-Mutated, Hormone Receptor-Positive Advanced Breast Cancer.",The New England journal of medicine,2019,"Clinical Trial, Phase III;Comparative Study;Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, Non-U.S. Gov't"
2,pmid-24608574,"Fritsch C, Huang A, Chatenay-Rivauday C, et al.",24608574,,10.1158/1535-7163.MCT-13-0865,Characterization of the novel and specific PI3Kα inhibitor NVP-BYL719 and development of the patient stratification strategy for clinical trials.,Molecular cancer therapeutics,2014,Journal Article
3,pmid-33168657,"Narayan P, Prowell TM, Gao JJ, et al.",33168657,PMC8535764,10.1158/1078-0432.CCR-20-3652,"FDA Approval Summary: Alpelisib Plus Fulvestrant for Patients with HR-positive, HER2-negative, PIK3CA-mutated, Advanced or Metastatic Breast Cancer.",Clinical cancer research : an official journal of the American Association for Cancer Research,2020,Journal Article;Randomized Controlled Trial
4,pmid-41967638,"Juric D, Rugo HS, Reising A, et al.",41967638,,10.1016/j.annonc.2026.04.003,Genomic determinants of response to alpelisib plus fulvestrant in the SOLAR-1 trial.,Annals of oncology : official journal of the European Society for Medical Oncology,2026,Journal Article
5,pmid-37101291,"Hutchinson KE, Chen JW, Savage HM, et al.",37101291,PMC10131374,10.1186/s13073-023-01181-8,"Multiple PIK3CA mutation clonality correlates with outcomes in taselisib + fulvestrant-treated ER+/HER2-, PIK3CA-mutated breast cancers.",Genome medicine,2023,"Journal Article;Research Support, Non-U.S. Gov't"
6,pmid-32929011,"Spangle JM, Von T, Pavlick DC, Khotimsky A, Zhao JJ, Roberts TM",32929011,PMC7533832,10.1073/pnas.2000060117,PIK3CA C-terminal frameshift mutations are novel oncogenic events that sensitize tumors to PI3K-α inhibition.,Proceedings of the National Academy of Sciences of the United States of America,2020,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't"
7,pmid-35138919,"Krop IE, Jegede OA, Grilley-Olson JE, et al.",35138919,PMC8865530,10.1200/PO.21.00424,Phase II Study of Taselisib in PIK3CA-Mutated Solid Tumors Other Than Breast and Squamous Lung Cancer: Results From the NCI-MATCH ECOG-ACRIN Trial (EAY131) Subprotocol I.,JCO precision oncology,2022,"Clinical Trial, Phase II;Journal Article;Research Support, N.I.H., Extramural"
8,pmid-35311394,"Bogani G, Chiappa V, Bini M, et al.",35311394,,10.1177/03008916211073621,"BYL719 (alpelisib) for the treatment of PIK3CA-mutated, recurrent/advanced cervical cancer.",Tumori,2022,Journal Article
9,pmid-33246021,"André F, Ciruelos EM, Juric D, et al.",33246021,,10.1016/j.annonc.2020.11.011,"Alpelisib plus fulvestrant for PIK3CA-mutated, hormone receptor-positive, human epidermal growth factor receptor-2-negative advanced breast cancer: final overall survival results from SOLAR-1.",Annals of oncology : official journal of the European Society for Medical Oncology,2020,"Journal Article;Randomized Controlled Trial;Research Support, Non-U.S. Gov't"
10,pmid-29401002,"Juric D, Rodon J, Tabernero J, et al.",29401002,PMC5920739,10.1200/JCO.2017.72.7107,Phosphatidylinositol 3-Kinase α-Selective Inhibition With Alpelisib (BYL719) in PIK3CA-Altered Solid Tumors: Results From the First-in-Human Study.,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,2018,"Clinical Trial, Phase I;Journal Article;Multicenter Study;Research Support, Non-U.S. Gov't"
