reference_number,paper_id,authors,PMID,PMCID,DOI,title,journal,publication_year,publication_types
19,pmid-37916958,"Varkaris A, Fece de la Cruz F, Martin EE, et al.",37916958,PMC10850944,10.1158/2159-8290.CD-23-0704,Allosteric PI3Kα Inhibition Overcomes On-target Resistance to Orthosteric Inhibitors Mediated by Secondary PIK3CA Mutations.,Cancer discovery,2024,"Journal Article;Research Support, U.S. Gov't, Non-P.H.S.;Research Support, N.I.H., Extramural"
20,pmid-28129991,"Miller MS, Maheshwari S, McRobb FM, et al.",28129991,PMC5319926,10.1016/j.bmc.2017.01.012,Identification of allosteric binding sites for PI3Kα oncogenic mutant specific inhibitor design.,Bioorganic & medicinal chemistry,2017,Journal Article
21,pmid-37623743,"Buckbinder L, St Jean DJ, Tieu T, et al.",37623743,PMC10618743,10.1158/2159-8290.CD-23-0396,"STX-478, a Mutant-Selective, Allosteric PI3Kα Inhibitor Spares Metabolic Dysfunction and Improves Therapeutic Response in PI3Kα-Mutant Xenografts.",Cancer discovery,2023,"Journal Article;Research Support, Non-U.S. Gov't"
22,pmid-37916956,"Varkaris A, Pazolli E, Gunaydin H, et al.",37916956,PMC10850943,10.1158/2159-8290.CD-23-0944,"Discovery and Clinical Proof-of-Concept of RLY-2608, a First-in-Class Mutant-Selective Allosteric PI3Kα Inhibitor That Decouples Antitumor Activity from Hyperinsulinemia.",Cancer discovery,2024,"Journal Article;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, Non-P.H.S.;Research Support, N.I.H., Extramural"
23,pmid-25409150,"Juric D, Castel P, Griffith M, et al.",25409150,PMC4326538,10.1038/nature13948,Convergent loss of PTEN leads to clinical resistance to a PI(3)Kα inhibitor.,Nature,2014,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't"
24,pmid-27048245,"Leroy C, Ramos P, Cornille K, et al.",27048245,PMC4820873,10.1186/s13058-016-0697-1,Activation of IGF1R/p110β/AKT/mTOR confers resistance to α-specific PI3K inhibition.,Breast cancer research : BCR,2016,"Journal Article;Research Support, Non-U.S. Gov't"
25,pmid-40991650,"Kumari N, Wright SC, Witham CM, et al.",40991650,PMC12618074,10.1172/JCI180927,USP10/GSK3β-mediated inhibition of PTEN drives resistance to PI3K inhibitors in breast cancer.,The Journal of clinical investigation,2025,"Journal Article;Research Support, Non-U.S. Gov't"
26,pmid-31859350,"Brandão M, Caparica R, Eiger D, de Azambuja E",31859350,PMC6923785,10.1093/annonc/mdz280,Biomarkers of response and resistance to PI3K inhibitors in estrogen receptor-positive breast cancer patients and combination therapies involving PI3K inhibitors.,Annals of oncology : official journal of the European Society for Medical Oncology,2019,"Journal Article;Research Support, Non-U.S. Gov't;Review"
27,pmid-27604488,"Le X, Antony R, Razavi P, et al.",27604488,PMC5050154,10.1158/2159-8290.CD-16-0305,Systematic Functional Characterization of Resistance to PI3K Inhibition in Breast Cancer.,Cancer discovery,2016,Journal Article
28,pmid-37101291,"Hutchinson KE, Chen JW, Savage HM, et al.",37101291,PMC10131374,10.1186/s13073-023-01181-8,"Multiple PIK3CA mutation clonality correlates with outcomes in taselisib + fulvestrant-treated ER+/HER2-, PIK3CA-mutated breast cancers.",Genome medicine,2023,"Journal Article;Research Support, Non-U.S. Gov't"
29,pmid-32404150,"Martínez-Sáez O, Chic N, Pascual T, et al.",32404150,PMC7222307,10.1186/s13058-020-01284-9,Frequency and spectrum of PIK3CA somatic mutations in breast cancer.,Breast cancer research : BCR,2020,"Journal Article;Research Support, Non-U.S. Gov't"
30,pmid-23903756,"Elkabets M, Vora S, Juric D, et al.",23903756,PMC3935768,10.1126/scitranslmed.3005747,mTORC1 inhibition is required for sensitivity to PI3K p110α inhibitors in PIK3CA-mutant breast cancer.,Science translational medicine,2013,"Journal Article;Research Support, Non-U.S. Gov't"
31,pmid-25873175,"Elkabets M, Pazarentzos E, Juric D, et al.",25873175,PMC4398915,10.1016/j.ccell.2015.03.010,AXL mediates resistance to PI3Kα inhibition by activating the EGFR/PKC/mTOR axis in head and neck and esophageal squamous cell carcinomas.,Cancer cell,2015,Journal Article
32,pmid-37339176,"Smith AE, Chan S, Wang Z, et al.",37339176,PMC10543974,10.1158/0008-5472.CAN-23-0282,Tipifarnib Potentiates the Antitumor Effects of PI3Kα Inhibition in PIK3CA- and HRAS-Dysregulated HNSCC via Convergent Inhibition of mTOR Activity.,Cancer research,2023,Journal Article
