paper_id,pmid,doi,title,pdf_path,tei_path,normalized_path,parse_status,notes
pmid-29401002,29401002,10.1200/JCO.2017.72.7107,Phosphatidylinositol 3-Kinase α-Selective Inhibition With Alpelisib (BYL719) in PIK3CA-Altered Solid Tumors: Results From the First-in-Human Study.,runs/pi3k_alpha_inhibition_resistance_20260903/artifacts/04_primary_full_text_ingestion/04_pdf/01_staged/PMID_29401002.pdf,runs/pi3k_alpha_inhibition_resistance_20260903/artifacts/04_primary_full_text_ingestion/04_pdf/02_parser_cache/01_grobid/pmid-29401002.tei.xml,runs/pi3k_alpha_inhibition_resistance_20260903/artifacts/04_primary_full_text_ingestion/04_pdf/03_normalized/pmid-29401002.json,normalized,PDF parsed and normalized through GROBID TEI.
pmid-34173298,34173298,10.1002/onco.13873,Potential for Long-Term Disease Control with Alpelisib Plus Fulvestrant Spans Patient Subgroups in HR+ PIK3CA-Mutated Advanced Breast Cancer.,runs/pi3k_alpha_inhibition_resistance_20260903/artifacts/04_primary_full_text_ingestion/04_pdf/01_staged/PMID_34173298.pdf,runs/pi3k_alpha_inhibition_resistance_20260903/artifacts/04_primary_full_text_ingestion/04_pdf/02_parser_cache/01_grobid/pmid-34173298.tei.xml,runs/pi3k_alpha_inhibition_resistance_20260903/artifacts/04_primary_full_text_ingestion/04_pdf/03_normalized/pmid-34173298.json,normalized,PDF parsed and normalized through GROBID TEI.
pmid-34552006,34552006,10.1158/1535-7163.MCT-20-0981,Phosphoproteomics Identifies PI3K Inhibitor-selective Adaptive Responses in Pancreatic Cancer Cell Therapy and Resistance.,runs/pi3k_alpha_inhibition_resistance_20260903/artifacts/04_primary_full_text_ingestion/04_pdf/01_staged/PMID_34552006.pdf,runs/pi3k_alpha_inhibition_resistance_20260903/artifacts/04_primary_full_text_ingestion/04_pdf/02_parser_cache/01_grobid/pmid-34552006.tei.xml,runs/pi3k_alpha_inhibition_resistance_20260903/artifacts/04_primary_full_text_ingestion/04_pdf/03_normalized/pmid-34552006.json,normalized,PDF parsed and normalized through GROBID TEI.
pmid-34754095,34754095,10.1038/s41416-021-01601-9,Sensitive and robust liquid biopsy-based detection of PIK3CA mutations in hormone-receptor-positive metastatic breast cancer patients.,runs/pi3k_alpha_inhibition_resistance_20260903/artifacts/04_primary_full_text_ingestion/04_pdf/01_staged/PMID_34754095.pdf,runs/pi3k_alpha_inhibition_resistance_20260903/artifacts/04_primary_full_text_ingestion/04_pdf/02_parser_cache/01_grobid/pmid-34754095.tei.xml,runs/pi3k_alpha_inhibition_resistance_20260903/artifacts/04_primary_full_text_ingestion/04_pdf/03_normalized/pmid-34754095.json,normalized,PDF parsed and normalized through GROBID TEI.
pmid-35968355,35968355,,PI3K inhibitors in trastuzumab-resistant HER2-positive breast cancer cells with PI3K pathway alterations.,runs/pi3k_alpha_inhibition_resistance_20260903/artifacts/04_primary_full_text_ingestion/04_pdf/01_staged/PMID_35968355.pdf,runs/pi3k_alpha_inhibition_resistance_20260903/artifacts/04_primary_full_text_ingestion/04_pdf/02_parser_cache/01_grobid/pmid-35968355.tei.xml,runs/pi3k_alpha_inhibition_resistance_20260903/artifacts/04_primary_full_text_ingestion/04_pdf/03_normalized/pmid-35968355.json,normalized,PDF parsed and normalized through GROBID TEI.
pmid-36611120,36611120,10.1038/s41388-022-02585-3,Alpelisib and fulvestrant in PIK3CA-mutated hormone receptor-positive HER2-negative advanced breast cancer included in the French early access program.,runs/pi3k_alpha_inhibition_resistance_20260903/artifacts/04_primary_full_text_ingestion/04_pdf/01_staged/PMID_36611120.pdf,runs/pi3k_alpha_inhibition_resistance_20260903/artifacts/04_primary_full_text_ingestion/04_pdf/02_parser_cache/01_grobid/pmid-36611120.tei.xml,runs/pi3k_alpha_inhibition_resistance_20260903/artifacts/04_primary_full_text_ingestion/04_pdf/03_normalized/pmid-36611120.json,normalized,PDF parsed and normalized through GROBID TEI.
pmid-32869930,32869930,10.1634/theoncologist.2020-0449,Biomarkers in Breast Cancer: An Integrated Analysis of Comprehensive Genomic Profiling and PD-L1 Immunohistochemistry Biomarkers in 312 Patients with Breast Cancer.,runs/pi3k_alpha_inhibition_resistance_20260903/artifacts/04_primary_full_text_ingestion/04_pdf/01_staged/PMID_32869930.pdf,runs/pi3k_alpha_inhibition_resistance_20260903/artifacts/04_primary_full_text_ingestion/04_pdf/02_parser_cache/01_grobid/pmid-32869930.tei.xml,runs/pi3k_alpha_inhibition_resistance_20260903/artifacts/04_primary_full_text_ingestion/04_pdf/03_normalized/pmid-32869930.json,normalized,PDF parsed and normalized through GROBID TEI.
pmid-34012367,34012367,10.1159/000514794,First Experiences with Alpelisib in Clinical Routine: Case Reports from a German Breast Center.,runs/pi3k_alpha_inhibition_resistance_20260903/artifacts/04_primary_full_text_ingestion/04_pdf/01_staged/PMID_34012367.pdf,runs/pi3k_alpha_inhibition_resistance_20260903/artifacts/04_primary_full_text_ingestion/04_pdf/02_parser_cache/01_grobid/pmid-34012367.tei.xml,runs/pi3k_alpha_inhibition_resistance_20260903/artifacts/04_primary_full_text_ingestion/04_pdf/03_normalized/pmid-34012367.json,normalized,PDF parsed and normalized through GROBID TEI.
