subsection_id,queries_planned,queries_run,total_pubmed_returned,total_collected_for_review,draft_known_citation_count,draft_citations_recovered,draft_citation_recall_rate,abstracts_reviewed,abstract_include_primary_count,abstract_include_context_count,abstract_uncertain_full_text_needed_count,abstract_rejected_count,abstract_rejection_rate,rescue_reviewed,rescue_promoted_count,final_literature_set_count,full_text_download_queue_count,controller_status,notes
SUB001,4,4,683,247,2,2,1.000,247,13,163,0,71,0.287,0,0,176,13,semantic_abstract_review_complete,Semantic abstract review decisions merged into SQLite.
SUB002,4,4,448,372,3,3,1.000,372,17,90,0,265,0.712,0,0,107,17,semantic_abstract_review_complete,Semantic abstract review decisions merged into SQLite.
SUB003,4,4,20,16,4,3,1.000,16,4,7,0,5,0.312,0,0,11,4,semantic_abstract_review_complete,Semantic abstract review decisions merged into SQLite.
SUB004,4,4,5523,410,2,2,1.000,410,7,121,0,282,0.688,0,0,128,7,semantic_abstract_review_complete,Semantic abstract review decisions merged into SQLite.
SUB005,4,4,8617,383,2,1,1.000,383,1,110,13,259,0.676,0,0,124,1,semantic_abstract_review_complete,Semantic abstract review decisions merged into SQLite.
SUB006,4,4,16566,421,1,1,1.000,421,7,106,14,294,0.698,0,0,127,7,semantic_abstract_review_complete,Semantic abstract review decisions merged into SQLite.
SUB007,4,4,871,320,1,1,1.000,320,1,51,0,268,0.838,0,0,52,1,semantic_abstract_review_complete,Semantic abstract review decisions merged into SQLite.
SUB008,4,4,5709,513,1,1,1.000,513,13,134,1,365,0.712,0,0,148,13,semantic_abstract_review_complete,Semantic abstract review decisions merged into SQLite.
SUB009,4,4,84,58,3,3,1.000,58,6,19,0,33,0.569,0,0,25,6,semantic_abstract_review_complete,Semantic abstract review decisions merged into SQLite.
SUB010,4,4,1603,541,1,1,1.000,541,6,258,0,277,0.512,0,0,264,6,semantic_abstract_review_complete,Semantic abstract review decisions merged into SQLite.
SUB011,4,4,7088,463,0,0,unknown,463,0,83,0,380,0.821,0,0,83,0,semantic_abstract_review_complete,Semantic abstract review decisions merged into SQLite.
SUB012,4,4,3045,315,1,1,1.000,315,7,85,0,223,0.708,0,0,92,7,semantic_abstract_review_complete,Semantic abstract review decisions merged into SQLite.
SUB013,4,4,260,234,4,4,1.000,234,6,28,0,200,0.855,0,0,34,6,semantic_abstract_review_complete,Semantic abstract review decisions merged into SQLite.
SUB014,4,4,3853,506,1,1,1.000,506,3,93,8,402,0.794,0,0,104,3,semantic_abstract_review_complete,Semantic abstract review decisions merged into SQLite.
SUB015,4,4,921,218,2,2,1.000,218,3,81,0,134,0.615,0,0,84,3,semantic_abstract_review_complete,Semantic abstract review decisions merged into SQLite.
SUB016,4,4,38,18,3,2,1.000,18,2,12,0,4,0.222,0,0,14,2,semantic_abstract_review_complete,Semantic abstract review decisions merged into SQLite.
SUB017,4,4,730,379,3,3,1.000,379,13,94,0,272,0.718,0,0,107,13,semantic_abstract_review_complete,Semantic abstract review decisions merged into SQLite.
SUB018,4,4,37,19,3,3,1.000,19,10,8,0,1,0.053,0,0,18,10,semantic_abstract_review_complete,Semantic abstract review decisions merged into SQLite.
