paper_id,pmid,pmcid,doi,source_name,source_format,source_url,discovery_status,notes
pmid-36455032,36455032,,10.1021/acs.jmedchem.2c01422,semantic_scholar_pdf,pdf,,discovery_failed,HTTP Error 429: 
pmid-37704834,37704834,,10.1007/s10549-023-07110-y,semantic_scholar_pdf,pdf,,discovery_failed,HTTP Error 429: 
pmid-37975961,37975961,,10.1007/s40261-023-01325-z,semantic_scholar_pdf,pdf,,discovery_failed,HTTP Error 429: 
pmid-38986734,38986734,,10.1016/j.canlet.2024.217112,semantic_scholar_pdf,pdf,,discovery_failed,HTTP Error 429: 
pmid-39476340,39476340,,10.1056/NEJMoa2404625,semantic_scholar_pdf,pdf,,discovery_failed,HTTP Error 429: 
pmid-39637900,39637900,,10.1016/S1470-2045(24)00673-9,semantic_scholar_pdf,pdf,,discovery_failed,HTTP Error 429: 
pmid-40121890,40121890,,10.1016/j.ctrv.2025.102924,semantic_scholar_pdf,pdf,,discovery_failed,HTTP Error 429: 
pmid-40203765,40203765,,10.1016/j.ejca.2025.115397,semantic_scholar_pdf,pdf,,discovery_failed,HTTP Error 429: 
pmid-40295072,40295072,,10.21873/anticanres.17567,openalex,pdf,https://ar.iiarjournals.org/content/anticanres/45/5/1877.full.pdf,found,OpenAlex open-access PDF URL.
pmid-40295072,40295072,,10.21873/anticanres.17567,semantic_scholar,pdf,https://ar.iiarjournals.org/content/anticanres/45/5/1877.full.pdf,found,Semantic Scholar openAccessPdf.
pmid-40845250,40845250,,10.1200/JCO-25-00663,semantic_scholar_pdf,pdf,,discovery_failed,HTTP Error 429: 
pmid-41406241,41406241,,10.1126/scitranslmed.adp5088,semantic_scholar_pdf,pdf,,discovery_failed,HTTP Error 429: 
pmid-41967638,41967638,,10.1016/j.annonc.2026.04.003,semantic_scholar_pdf,pdf,,discovery_failed,HTTP Error 429: 
pmid-42024964,42024964,,10.1016/j.ejmech.2026.118879,semantic_scholar_pdf,pdf,,discovery_failed,HTTP Error 429: 
pmid-42263466,42263466,,10.1016/j.clbc.2026.05.004,semantic_scholar_pdf,pdf,,discovery_failed,HTTP Error 429: 
pmid-42635598,42635598,,10.1158/1078-0432.CCR-26-1816,semantic_scholar_pdf,pdf,,discovery_failed,HTTP Error 429: 
