subsection_id,paper_rank,paper_id,pmid,pmcid,doi,title,source_format,hybrid_score,lexical_score,semantic_score,evidence_role_hint,selected_for_packet,selection_reason,top_chunk_uids
SUB001,18,pmid-37916958,37916958,PMC10850944,10.1158/2159-8290.CD-23-0704,Allosteric PI3Kα Inhibition Overcomes On-target Resistance to Orthosteric Inhibitors Mediated by Secondary PIK3CA Mutations.,pmc_xml,0.042105,116.566871,2.408391,context_for_subsection,0,not_selected,pmid-37916958:CH0001;pmid-37916958:CH0032;pmid-37916958:CH0005
SUB001,19,pmid-33190190,33190190,PMC7854469,10.1007/s12325-020-01552-2,"Clinical Challenges in the Management of Hormone Receptor-Positive, Human Epidermal Growth Factor Receptor 2-Negative Metastatic Breast Cancer: A Literature Review.",pmc_xml,0.041777,120.970859,1.676125,global_primary_retrieved,0,not_selected,pmid-33190190:CH0073;pmid-33190190:CH0074
SUB001,20,pmid-36579519,36579519,PMC9694420,10.3390/jpm12111793,PIK3CAMutations in Breast Cancer Subtypes Other Than HR-Positive/HER2-Negative.,pmc_xml,0.041515,120.843414,0.800694,primary_for_subsection,1,stage4_primary_force_included,pmid-36579519:CH0029;pmid-36579519:CH0041
SUB001,21,pmid-41925922,41925922,PMC13046609,10.1007/s10549-026-07939-z,Alpelisib and Fulvestrant in PIK3CA-mutated hormone receptor-positive HER2-negative advanced breast cancer included in the German PRAEGNANT trial.,pmc_xml,0.036227,114.822828,0.785782,primary_for_subsection,1,stage4_primary_force_included,pmid-41925922:CH0001;pmid-41925922:CH0033
SUB001,22,pmid-32252811,32252811,PMC7137211,10.1186/s13058-020-01271-0,Everolimus versus alpelisib in advanced hormone receptor-positive HER2-negative breast cancer: targeting different nodes of the PI3K/AKT/mTORC1 pathway with different clinical implications.,pmc_xml,0.035889,255.069856,0.797086,global_primary_retrieved,0,not_selected,pmid-32252811:CH0061;pmid-32252811:CH0002;pmid-32252811:CH0029
SUB001,23,pmid-34173298,34173298,PMC8262312,10.1002/onco.13873,Potential for Long-Term Disease Control with Alpelisib Plus Fulvestrant Spans Patient Subgroups in HR+ PIK3CA-Mutated Advanced Breast Cancer.,pdf,0.035873,141.887732,0.000000,primary_for_subsection,1,stage4_primary_force_included,pmid-34173298:CH0002
SUB001,24,pmid-32864625,32864625,PMC7450824,10.1038/s43018-020-0047-1,Alterations in PTEN and ESR1 promote clinical resistance to alpelisib plus aromatase inhibitors.,pmc_xml,0.034398,115.069850,2.361445,global_primary_retrieved,0,not_selected,pmid-32864625:CH0032;pmid-32864625:CH0005;pmid-32864625:CH0001
SUB001,25,pmid-37761256,37761256,PMC10528120,10.3390/diagnostics13182887,Next-Generation Sequencing-Based Analysis of Clinical and Pathological Features of PIK3CA-Mutated Breast Cancer.,pmc_xml,0.033889,0.000000,0.821170,primary_for_subsection,1,stage4_primary_force_included,pmid-37761256:CH0021
SUB001,26,pmid-36367572,36367572,PMC10067656,10.1007/s00428-022-03445-x,Proficiency testing of PIK3CA mutations in HR+/HER2-breast cancer on liquid biopsy and tissue.,pmc_xml,0.033514,0.000000,0.818741,primary_for_subsection,1,stage4_primary_force_included,pmid-36367572:CH0008
SUB001,27,pmid-35348782,35348782,PMC8963159,10.1093/oncolo/oyac011,Alpelisib Plus Fulvestrant or Letrozole Demonstrates Sustained Benefits Across Subgroups of Patients with PIK3CA-Mutated HR+/HER2- Advanced Breast Cancer.,pmc_xml,0.033158,127.738317,0.000000,primary_for_subsection,1,stage4_primary_force_included,pmid-35348782:CH0008
SUB001,28,pmid-36387506,36387506,PMC9650006,10.1016/j.heliyon.2022.e11396,Chip-based digital Polymerase Chain Reaction as quantitative technique for the detection of PIK3CA mutations in breast cancer patients.,pmc_xml,0.032658,0.000000,0.812408,primary_for_subsection,1,stage4_primary_force_included,pmid-36387506:CH0006
