paper_id,pmid,doi,title,pdf_path,tei_path,normalized_path,parse_status,notes
pmid-25528022,25528022,10.1007/s10549-014-3239-5,A preclinical evaluation of the PI3K alpha/delta dominant inhibitor BAY 80-6946 in HER2-positive breast cancer models with acquired resistance to the HER2-targeted therapies trastuzumab and lapatinib.,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/01_staged/PMID_25528022.pdf,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/02_parser_cache/01_grobid/pmid-25528022.tei.xml,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/03_normalized/pmid-25528022.json,normalized,PDF parsed and normalized through GROBID TEI.
pmid-29401002,29401002,10.1200/JCO.2017.72.7107,Phosphatidylinositol 3-Kinase α-Selective Inhibition With Alpelisib (BYL719) in PIK3CA-Altered Solid Tumors: Results From the First-in-Human Study.,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/01_staged/PMID_29401002.pdf,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/02_parser_cache/01_grobid/pmid-29401002.tei.xml,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/03_normalized/pmid-29401002.json,normalized,PDF parsed and normalized through GROBID TEI.
pmid-29850984,29850984,10.1007/s10549-018-4792-0,Phase I study of alpelisib (BYL-719) and trastuzumab emtansine (T-DM1) in HER2-positive metastatic breast cancer (MBC) after trastuzumab and taxane therapy.,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/01_staged/PMID_29850984.pdf,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/02_parser_cache/01_grobid/pmid-29850984.tei.xml,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/03_normalized/pmid-29850984.json,normalized,PDF parsed and normalized through GROBID TEI.
pmid-31091374,31091374,10.1056/NEJMoa1813904,"Alpelisib for PIK3CA-Mutated, Hormone Receptor-Positive Advanced Breast Cancer.",runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/01_staged/PMID_31091374.pdf,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/02_parser_cache/01_grobid/pmid-31091374.tei.xml,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/03_normalized/pmid-31091374.json,normalized,PDF parsed and normalized through GROBID TEI.
pmid-31439579,31439579,10.1158/1078-0432.CCR-19-0508,"POSEIDON Trial Phase 1b Results: Safety, Efficacy and Circulating Tumor DNA Response of the Beta Isoform-Sparing PI3K Inhibitor Taselisib (GDC-0032) Combined with Tamoxifen in Hormone Receptor Positive Metastatic Breast Cancer Patients.",runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/01_staged/PMID_31439579.pdf,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/02_parser_cache/01_grobid/pmid-31439579.tei.xml,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/03_normalized/pmid-31439579.json,normalized,PDF parsed and normalized through GROBID TEI.
pmid-31594766,31594766,10.1158/2159-8290.CD-18-0830,PTEN Loss Mediates Clinical Cross-Resistance to CDK4/6 and PI3Kα Inhibitors in Breast Cancer.,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/01_staged/PMID_31594766.pdf,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/02_parser_cache/01_grobid/pmid-31594766.tei.xml,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/03_normalized/pmid-31594766.json,normalized,PDF parsed and normalized through GROBID TEI.
pmid-32494066,32494066,10.1038/s41586-020-2175-2,Landscape and function of multiple mutations within individual oncogenes.,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/01_staged/PMID_32494066.pdf,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/02_parser_cache/01_grobid/pmid-32494066.tei.xml,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/03_normalized/pmid-32494066.json,normalized,PDF parsed and normalized through GROBID TEI.
pmid-32887722,32887722,10.1158/1078-0432.CCR-20-0645,Phase Ib Study of Ribociclib plus Fulvestrant and Ribociclib plus Fulvestrant plus PI3K Inhibitor (Alpelisib or Buparlisib) for HR+ Advanced Breast Cancer.,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/01_staged/PMID_32887722.pdf,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/02_parser_cache/01_grobid/pmid-32887722.tei.xml,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/03_normalized/pmid-32887722.json,normalized,PDF parsed and normalized through GROBID TEI.
pmid-32929011,32929011,10.1073/pnas.2000060117,PIK3CA C-terminal frameshift mutations are novel oncogenic events that sensitize tumors to PI3K-α inhibition.,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/01_staged/PMID_32929011.pdf,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/02_parser_cache/01_grobid/pmid-32929011.tei.xml,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/03_normalized/pmid-32929011.json,normalized,PDF parsed and normalized through GROBID TEI.
pmid-33246021,33246021,10.1016/j.annonc.2020.11.011,"Alpelisib plus fulvestrant for PIK3CA-mutated, hormone receptor-positive, human epidermal growth factor receptor-2-negative advanced breast cancer: final overall survival results from SOLAR-1.",runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/01_staged/PMID_33246021.pdf,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/02_parser_cache/01_grobid/pmid-33246021.tei.xml,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/03_normalized/pmid-33246021.json,normalized,PDF parsed and normalized through GROBID TEI.
pmid-33794206,33794206,10.1016/S1470-2045(21)00034-6,"Alpelisib plus fulvestrant in PIK3CA-mutated, hormone receptor-positive advanced breast cancer after a CDK4/6 inhibitor (BYLieve): one cohort of a phase 2, multicentre, open-label, non-comparative study.",runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/01_staged/PMID_33794206.pdf,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/02_parser_cache/01_grobid/pmid-33794206.tei.xml,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/03_normalized/pmid-33794206.json,normalized,PDF parsed and normalized through GROBID TEI.
pmid-35311394,35311394,10.1177/03008916211073621,"BYL719 (alpelisib) for the treatment of PIK3CA-mutated, recurrent/advanced cervical cancer.",runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/01_staged/PMID_35311394.pdf,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/02_parser_cache/01_grobid/pmid-35311394.tei.xml,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/03_normalized/pmid-35311394.json,normalized,PDF parsed and normalized through GROBID TEI.
pmid-35771551,35771551,10.1158/2159-8290.CD-21-1696,"Alpelisib Monotherapy for PI3K-Altered, Pretreated Advanced Breast Cancer: A Phase II Study.",runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/01_staged/PMID_35771551.pdf,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/02_parser_cache/01_grobid/pmid-35771551.tei.xml,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/03_normalized/pmid-35771551.json,normalized,PDF parsed and normalized through GROBID TEI.
pmid-38986734,38986734,10.1016/j.canlet.2024.217112,PI3K PROTAC overcomes the lapatinib resistance in PIK3CA-mutant HER2 positive breast cancer.,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/01_staged/PMID_38986734.pdf,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/02_parser_cache/01_grobid/pmid-38986734.tei.xml,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/03_normalized/pmid-38986734.json,normalized,PDF parsed and normalized through GROBID TEI.
pmid-39637900,39637900,10.1016/S1470-2045(24)00673-9,"Alpelisib plus fulvestrant in PIK3CA-mutated, hormone receptor-positive advanced breast cancer after a CDK4/6 inhibitor (BYLieve): one cohort of a phase 2, multicentre, open-label, non-comparative study.",runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/01_staged/PMID_39637900.pdf,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/02_parser_cache/01_grobid/pmid-39637900.tei.xml,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/03_normalized/pmid-39637900.json,normalized,PDF parsed and normalized through GROBID TEI.
pmid-40295072,40295072,10.21873/anticanres.17567,Development of Acquired Resistance in Alpelisib-treated Gastric Cancer Cells With PIK3CA Mutations and Overcoming Strategies.,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/01_staged/PMID_40295072.pdf,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/02_parser_cache/01_grobid/pmid-40295072.tei.xml,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/03_normalized/pmid-40295072.json,normalized,PDF parsed and normalized through GROBID TEI.
pmid-40382983,40382983,10.1016/j.drup.2025.101251,MicroRNA-mediated PTEN downregulation as a novel non-genetic mechanism of acquired resistance to PI3Kα inhibitors of head & neck squamous cell carcinoma.,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/01_staged/PMID_40382983.pdf,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/02_parser_cache/01_grobid/pmid-40382983.tei.xml,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/03_normalized/pmid-40382983.json,normalized,PDF parsed and normalized through GROBID TEI.
pmid-40845250,40845250,10.1200/JCO-25-00663,"US Food and Drug Administration Approval Summary: Inavolisib With Palbociclib and Fulvestrant for Endocrine-Resistant, PIK3CA-Mutated, Hormone Receptor-Positive, Human Epidermal Growth Factor Receptor 2-Negative, Locally Advanced or Metastatic Breast Cancer.",runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/01_staged/PMID_40845250.pdf,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/02_parser_cache/01_grobid/pmid-40845250.tei.xml,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/03_normalized/pmid-40845250.json,normalized,PDF parsed and normalized through GROBID TEI.
pmid-41967638,41967638,10.1016/j.annonc.2026.04.003,Genomic determinants of response to alpelisib plus fulvestrant in the SOLAR-1 trial.,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/01_staged/PMID_41967638.pdf,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/02_parser_cache/01_grobid/pmid-41967638.tei.xml,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/03_normalized/pmid-41967638.json,normalized,PDF parsed and normalized through GROBID TEI.
